Species1,Species2,DivergenceTime
Hordeum_flexuosum,Hordeum_gussoneanum,9.009506
Hordeum_flexuosum,Hordeum_gussoneanum_Sub2,9.009506
Hordeum_flexuosum,Hordeum_secalinum_Sub1,9.009506
Hordeum_flexuosum,Hordeum_marinum_BCC2001,9.009506
Hordeum_flexuosum,Hordeum_marinum_H559,9.009506
Hordeum_flexuosum,Hordeum_gussoneanum_Sub1,9.009506
Hordeum_flexuosum,Hordeum_bulbosum_Hap1,12.273094
Hordeum_flexuosum,Hordeum_bulbosum_Hap2,12.273094
Hordeum_flexuosum,Hordeum_vulgare,12.273094
Hordeum_flexuosum,Hordeum_murinum_Sub1,12.273094
Hordeum_flexuosum,Hordeum_murinum_BCC2017,12.273094
Hordeum_flexuosum,Hordeum_murinum_Sub2,12.273094
Hordeum_flexuosum,Triticum_monococcum,16.207947
Hordeum_flexuosum,Oryza_sativa,46.81582
Hordeum_parodii_Sub1,Sorghum_bicolor,48.998211
Hordeum_parodii_Sub1,Brachypodium_distachyon,34.529178
Hordeum_parodii_Sub1,Hordeum_bogdanii,6.170433
Hordeum_parodii_Sub1,Hordeum_jubatum_Sub2,6.170433
Hordeum_parodii_Sub1,Hordeum_parodii_Sub2,6.170433
Hordeum_parodii_Sub1,Hordeum_roshevitzii,6.170433
Hordeum_parodii_Sub1,Hordeum_brevisubulatum,6.170433
Hordeum_parodii_Sub1,Hordeum_californicum,3.56174
Hordeum_parodii_Sub1,Hordeum_jubatum_Sub1,3.56174
Hordeum_parodii_Sub1,Hordeum_chilense,0.849577
Hordeum_parodii_Sub1,Hordeum_flexuosum,0.367128
Hordeum_parodii_Sub1,Hordeum_erectifolium,1.427274
Hordeum_parodii_Sub1,Hordeum_stenostachys,1.427274
Hordeum_parodii_Sub1,Hordeum_euclaston,1.427274
Hordeum_parodii_Sub1,Hordeum_intercedens,1.427274
Hordeum_parodii_Sub1,Hordeum_pusillum,1.427274
Hordeum_parodii_Sub1,Hordeum_parodii_Sub3,1.567448
Hordeum_parodii_Sub1,Hordeum_pubiflorum,1.567448
Hordeum_parodii_Sub1,Hordeum_patagonicum,1.567448
Hordeum_parodii_Sub1,Hordeum_comosum,1.683545
Hordeum_parodii_Sub1,Hordeum_cordobense,1.782909
Hordeum_parodii_Sub1,Hordeum_muticum,1.782909
Hordeum_parodii_Sub1,Hordeum_secalinum_Sub2,5.56327
Hordeum_parodii_Sub1,Hordeum_gussoneanum,9.009506
Hordeum_parodii_Sub1,Hordeum_gussoneanum_Sub2,9.009506
Hordeum_parodii_Sub1,Hordeum_secalinum_Sub1,9.009506
Hordeum_parodii_Sub1,Hordeum_marinum_BCC2001,9.009506
Hordeum_parodii_Sub1,Hordeum_marinum_H559,9.009506
Hordeum_parodii_Sub1,Hordeum_gussoneanum_Sub1,9.009506
Hordeum_parodii_Sub1,Hordeum_bulbosum_Hap1,12.273094
Hordeum_parodii_Sub1,Hordeum_bulbosum_Hap2,12.273094
Hordeum_parodii_Sub1,Hordeum_vulgare,12.273094
Hordeum_parodii_Sub1,Hordeum_murinum_Sub1,12.273094
Hordeum_parodii_Sub1,Hordeum_murinum_BCC2017,12.273094
Hordeum_parodii_Sub1,Hordeum_murinum_Sub2,12.273094
Hordeum_parodii_Sub1,Triticum_monococcum,16.207947
Hordeum_parodii_Sub1,Oryza_sativa,46.81582
Hordeum_erectifolium,Sorghum_bicolor,48.998211
